Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Sofi Technologies Inc,SOFI,Buy,Filled,100,100,@22.64,22.64,DAY,07/31/2025 15:50:43 EDT,07/31/2025 15:50:43 EDT
Sofi Technologies Inc,SOFI,Sell,Cancelled,0,500,@23.19,,DAY,07/31/2025 12:29:55 EDT,
Sofi Technologies Inc,SOFI,Buy,Filled,500,500,@23.05,23.05,DAY,07/31/2025 12:25:37 EDT,07/31/2025 12:29:33 EDT
Sofi Technologies Inc,SOFI,Sell,Filled,500,500,@23.08,23.08,DAY,07/31/2025 11:11:21 EDT,07/31/2025 11:11:21 EDT
Sofi Technologies Inc,SOFI,Sell,Cancelled,0,500,@23.11,,DAY,07/31/2025 11:11:03 EDT,
Sofi Technologies Inc,SOFI,Sell,Cancelled,0,500,22.73,,DAY,07/31/2025 11:07:02 EDT,
Sofi Technologies Inc,SOFI,Buy,Filled,500,500,@23.19,23.19,DAY,07/31/2025 11:07:02 EDT,07/31/2025 11:07:02 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,400,400,@103.88,103.88,DAY,07/31/2025 09:45:05 EDT,07/31/2025 09:45:05 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,200,200,@102.00,102.00,DAY,07/31/2025 09:32:50 EDT,07/31/2025 09:32:50 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,200,200,@103.90,103.90,DAY,07/31/2025 08:13:06 EDT,07/31/2025 09:29:30 EDT
Sofi Technologies Inc,SOFI,Buy,Cancelled,0,1000,@22.34,,DAY,07/31/2025 08:07:06 EDT,
Sofi Technologies Inc,SOFI,Buy,Cancelled,0,1000,@22.39,,DAY,07/31/2025 08:01:03 EDT,
Sofi Technologies Inc,SOFI,Buy,Cancelled,0,1000,@22.40,,DAY,07/31/2025 08:00:38 EDT,
J-Star Holding,YMAT,Sell,Filled,100,100,@6.50,6.50,DAY,07/31/2025 07:01:37 EDT,07/31/2025 07:01:37 EDT
J-Star Holding,YMAT,Sell,Cancelled,0,100,@6.73,,DAY,07/31/2025 07:01:26 EDT,
J-Star Holding,YMAT,Buy,Filled,100,100,@7.16,7.16,DAY,07/31/2025 07:01:12 EDT,07/31/2025 07:01:13 EDT
Onconetix,ONCO,Sell,Filled,100,100,@4.94,4.94,DAY,07/31/2025 07:00:44 EDT,07/31/2025 07:00:44 EDT
Onconetix,ONCO,Buy,Filled,100,100,@5.14,5.14,DAY,07/31/2025 07:00:35 EDT,07/31/2025 07:00:35 EDT
Aeye Inc,LIDR,Sell,Filled,100,100,@3.83,3.83,DAY,07/31/2025 06:45:17 EDT,07/31/2025 06:45:17 EDT
Aeye Inc,LIDR,Buy,Filled,100,100,@3.88,3.88,DAY,07/31/2025 06:21:03 EDT,07/31/2025 06:21:13 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,10,10,@104.78,104.78,DAY,07/30/2025 15:01:10 EDT,07/30/2025 15:01:32 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,10,10,@104.69,104.69,DAY,07/30/2025 15:00:44 EDT,07/30/2025 15:00:44 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,10,10,@106.87,106.87,DAY,07/30/2025 14:44:28 EDT,07/30/2025 14:44:37 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,10,10,@106.86,106.86,DAY,07/30/2025 14:43:45 EDT,07/30/2025 14:43:46 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@106.81,106.81,DAY,07/30/2025 14:43:14 EDT,07/30/2025 14:43:15 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,50,50,@106.68,106.68,DAY,07/30/2025 14:42:18 EDT,07/30/2025 14:42:18 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,50,50,@106.64,106.64,DAY,07/30/2025 14:40:29 EDT,07/30/2025 14:40:29 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@106.79,106.79,DAY,07/30/2025 14:40:01 EDT,07/30/2025 14:40:01 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@107.38,107.38,DAY,07/30/2025 14:20:00 EDT,07/30/2025 14:36:19 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@106.79,106.79,DAY,07/30/2025 14:20:00 EDT,07/30/2025 14:20:00 EDT
Robinhood Markets  Inc.,HOOD,Sell,Cancelled,0,100,106.02,,DAY,07/30/2025 14:20:00 EDT,
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@105.89,105.89,DAY,07/30/2025 12:46:06 EDT,07/30/2025 12:46:06 EDT
Robinhood Markets  Inc.,HOOD,Sell,Cancelled,0,100,105.89,,DAY,07/30/2025 12:00:04 EDT,
Robinhood Markets  Inc.,HOOD,Sell,Cancelled,0,100,@117.03,,DAY,07/30/2025 12:00:04 EDT,
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@106.39,106.39,DAY,07/30/2025 12:00:04 EDT,07/30/2025 12:00:04 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@106.53,106.53,DAY,07/30/2025 11:36:17 EDT,07/30/2025 11:36:17 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@106.26,106.26,DAY,07/30/2025 11:34:41 EDT,07/30/2025 11:34:43 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@106.09,106.09,DAY,07/30/2025 10:05:42 EDT,07/30/2025 10:06:01 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@105.93,105.93,DAY,07/30/2025 10:00:53 EDT,07/30/2025 10:00:53 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@105.41,105.41,DAY,07/30/2025 09:44:14 EDT,07/30/2025 09:44:14 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,100,100,@104.94,104.94,DAY,07/30/2025 09:43:11 EDT,07/30/2025 09:43:11 EDT
